CMPLNT_FR_DT,CMPLNT_FR_TM,LAW_CAT_CD,BORO_NM,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
6/1/2017,5:30:00,FELONY,MANHATTAN,"1,000,391","227,216",40.79032505,-73.94171072
6/1/2017,6:00:00,MISDEMEANOR,MANHATTAN,"998,321","225,939",40.78682356,-73.94918888
6/1/2017,6:40:00,MISDEMEANOR,MANHATTAN,"1,002,792","249,894",40.85256503,-73.93297722
6/1/2017,7:00:00,FELONY,MANHATTAN,"985,474","209,472",40.741637,-73.99558439
6/1/2017,7:00:00,MISDEMEANOR,MANHATTAN,"1,000,068","237,698",40.81909584,-73.94285249
6/1/2017,7:00:00,FELONY,MANHATTAN,"998,317","221,666",40.77509532,-73.94921227
6/1/2017,7:05:00,FELONY,MANHATTAN,"987,015","201,057",40.71853954,-73.99002683
6/1/2017,7:27:00,MISDEMEANOR,MANHATTAN,"985,126","207,917",40.73736896,-73.99684042
6/1/2017,7:50:00,MISDEMEANOR,MANHATTAN,"997,406","230,838",40.8002714,-73.95248349
6/1/2017,8:00:00,MISDEMEANOR,MANHATTAN,"1,001,328","251,059",40.85576556,-73.93826621
6/1/2017,8:07:00,MISDEMEANOR,MANHATTAN,"988,926","211,121",40.74616195,-73.98312599
6/1/2017,8:15:00,VIOLATION,MANHATTAN,"998,890","242,110",40.83120755,-73.94709887
6/1/2017,8:25:00,MISDEMEANOR,MANHATTAN,"986,285","200,787",40.71779865,-73.99266036
6/1/2017,8:35:00,FELONY,MANHATTAN,"1,003,285","251,664",40.8574221,-73.93119014
6/1/2017,8:45:00,VIOLATION,MANHATTAN,"1,000,842","239,098",40.82293702,-73.94005264
6/1/2017,8:58:00,MISDEMEANOR,MANHATTAN,"987,408","207,285",40.73563375,-73.98860618
6/1/2017,9:00:00,FELONY,MANHATTAN,"982,521","206,726",40.73409983,-74.0062402
6/1/2017,9:00:00,FELONY,MANHATTAN,"994,956","218,613",40.76672034,-73.96135209
6/1/2017,9:00:00,FELONY,MANHATTAN,"981,591","202,725",40.72311783,-74.00959433
6/1/2017,9:00:00,VIOLATION,MANHATTAN,"987,094","218,898",40.76750861,-73.9897343
6/1/2017,9:00:00,MISDEMEANOR,MANHATTAN,"999,297","233,439",40.80740742,-73.94564759
6/1/2017,9:01:00,MISDEMEANOR,MANHATTAN,"987,706","217,218",40.76289723,-73.98752578
6/1/2017,9:05:00,MISDEMEANOR,MANHATTAN,"989,818","200,228",40.71626281,-73.97991582
6/1/2017,9:06:00,MISDEMEANOR,MANHATTAN,"1,000,476","241,999",40.83090012,-73.94136802
6/1/2017,9:25:00,MISDEMEANOR,MANHATTAN,"987,011","199,765",40.71499331,-73.99004179
6/1/2017,9:30:00,MISDEMEANOR,MANHATTAN,"987,695","213,174",40.75179748,-73.98756756
6/1/2017,9:30:00,MISDEMEANOR,MANHATTAN,"987,011","199,765",40.71499331,-73.99004179
6/1/2017,9:30:00,VIOLATION,MANHATTAN,"989,457","209,945",40.74293382,-73.98121055
6/1/2017,9:30:00,FELONY,MANHATTAN,"991,789","217,838",40.76459643,-73.97278603
6/1/2017,9:33:00,MISDEMEANOR,MANHATTAN,"1,005,317","255,576",40.86815474,-73.92383219
6/1/2017,9:39:00,MISDEMEANOR,MANHATTAN,"986,652","199,389",40.71396138,-73.99133693
